TABLE_NAME,LOCATION_FOUND,DDL_DEFINITION
TD_DATA_LOAD,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TD_DATA_LOAD""","create or replace TRANSIENT TABLE TD_DATA_LOAD (
	NTILEPGM_LOV_CD VARCHAR(255),
	NTILEPGM_LOV_DESC VARCHAR(255),
	NTILEPGM_LOV_SDESC VARCHAR(255),
	HCP_KEY VARCHAR(32),
	NTILEPGM_CNT NUMBER(8,0)
);"
TXR_NTILE_HCP_SUZ_QTRLY_STATIC_R52W,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TXR_NTILE_HCP_SUZ_QTRLY_STATIC_R52W""","create or replace TRANSIENT TABLE TXR_NTILE_HCP_SUZ_QTRLY_STATIC_R52W (
	NTILEPGM_KEY VARCHAR(32),
	NTILEPGM_LOV_KEY VARCHAR(32),
	NTILEPGM_LOV_CD VARCHAR(255),
	NTILEPGM_LOV_DESC VARCHAR(255),
	NTILEPGM_LOV_SDESC VARCHAR(255),
	HCP_KEY VARCHAR(32),
	NTILEPGM_CNT NUMBER(8,0)
);"
TXR_NTILE_HCP_SUZ_R52W,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TXR_NTILE_HCP_SUZ_R52W""","create or replace TRANSIENT TABLE TXR_NTILE_HCP_SUZ_R52W (
	NTILEPGM_KEY VARCHAR(32),
	NTILEPGM_LOV_KEY VARCHAR(32),
	NTILEPGM_LOV_CD VARCHAR(255),
	NTILEPGM_LOV_DESC VARCHAR(255),
	NTILEPGM_LOV_SDESC VARCHAR(255),
	HCP_KEY VARCHAR(32),
	NTILEPGM_CNT NUMBER(8,0)
);"
TXR_OTLT_SUBCAT,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TXR_OTLT_SUBCAT""","create or replace TRANSIENT TABLE TXR_OTLT_SUBCAT (
	OTLT_KEY VARCHAR(32),
	OTLT_SUBCAT_KEY VARCHAR(16777216)
);"
TXR_SOC_IDN,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TXR_SOC_IDN""","create or replace TRANSIENT TABLE TXR_SOC_IDN (
	SOC_KEY VARCHAR(32),
	IDN_KEY VARCHAR(32),
	TXN_CNT NUMBER(38,0)
);"
TXR_VRTX_MCO_PAYER_CAT_2_PLAN,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TXR_VRTX_MCO_PAYER_CAT_2_PLAN""","create or replace TRANSIENT TABLE TXR_VRTX_MCO_PAYER_CAT_2_PLAN (
	VRTX_PLAN_KEY VARCHAR(32),
	MM_PAYER_CAT_MAX_LVL_KEY VARCHAR(32),
	TXN_CNT NUMBER(1,0)
);"


# ==========================================
# 2. FULL PROMPT DEFINITIONS (EXACT ORIGINAL)
# ==========================================

PROMPT_REPHRASER_ORCHESTRATION = """
<query_refinement_instructions>
<objective>
Transform the user's input into a standalone, context-complete query that can be understood without prior conversation history.
</objective>

<core_rules>
<rule id="1">Resolve all pronouns (it, they, that, this, those) to their specific referents</rule>
<rule id="2">Preserve ALL metrics, entity names, IDs, and numerical values EXACTLY as stated</rule>
<rule id="3">Maintain the original intent and scope - do not expand or narrow the question</rule>
<rule id="4">Keep technical terminology and domain-specific language intact</rule>
<rule id="5">Ensure the output is grammatically correct and reads naturally</rule>
</core_rules>

<transformation_examples>
<example>
<input>What about Arizona?</input>
<context>Previous discussion about sales performance in Texas</context>
<output>What is the sales performance in Arizona?</output>
</example>

<example>
<input>Why is it down?</input>
<context>Previous mention of Q4 revenue</context>
<output>Why is Q4 revenue down?</output>
</example>
</transformation_examples>

<output_format>
Output ONLY the refined query string. Do not include explanations, metadata, or formatting.
</output_format>
</query_refinement_instructions>
"""

PROMPT_INTENT_SYSTEM = "You are an Expert Intent Classification System."

PROMPT_INTENT_ORCHESTRATION = """
<intent_classification_instructions>

<mission>
Your ONLY job is to identify the user's INTENT. Do NOT retrieve data, do NOT answer questions, do NOT perform analysis.
Classify the intent type and route accordingly. If you can answer directly (like greetings), provide direct_response.
</mission>

<intent_categories>

<intent name="greeting">
<description>User is greeting, saying hello, or engaging in pleasantries</description>
<indicators>hi, hello, hey, good morning, how are you, thanks, thank you, goodbye, bye</indicators>
<action>Set direct_response with a friendly greeting. No other fields needed.</action>
</intent>

<intent name="data_retrieval">
<description>User wants to see/get/retrieve DATA - numbers, lists, metrics, tables</description>
<indicators>show, list, get, display, find, what is the value, how many, count, total, give me</indicators>
<action>Extract the data request to data_retrieval_query. Keep as natural language. Add "and generate a table and a visual".</action>
**CRITICAL VISUALIZATION LOGIC:**
Analyze the data request. If it implies trends (over time), comparisons (by region/product), or distributions, you MUST automatically append "and generate a table and a visual" to the query string, even if the user did not explicitly ask for a chart.
</intent>

<intent name="root_cause_analysis">
<description>User wants to understand WHY, CAUSES, DRIVERS, REASONS, EXPLANATIONS</description>
<indicators>why, explain, what is driving, what is causing, what's behind, reason for, root cause, how come, what factors</indicators>
<action>Extract the causal question to root_cause_query. Keep VERBATIM - exact text from user.</action>
</intent>

<intent name="combined">
<description>User wants BOTH data AND causal analysis in one request</description>
<indicators>Contains both data keywords AND causal keywords</indicators>
<action>Split into data_retrieval_query AND root_cause_query. Keep both portions.</action>
</intent>

<intent name="clarification_needed">
<description>User's intent is unclear, vague, or ambiguous - you cannot determine what they want</description>
<indicators>Very short/vague input, unclear pronouns without context, incomplete thoughts</indicators>
<action>Set clarification_question asking user to be more specific.</action>
</intent>

<intent name="general_question">
<description>General questions about the system, capabilities, how to use features - not data or analysis requests</description>
<indicators>how do I, can you, what can you do, help me understand, how does this work</indicators>
<action>Set direct_response with helpful information about capabilities.</action>
</intent>

<intent name="off_topic">
<description>User is asking about unrelated topics not connected to data, analytics, or business questions</description>
<indicators>Questions about weather, sports, entertainment, personal topics unrelated to business/data</indicators>
<action>Set direct_response politely redirecting to business/data topics.</action>
</intent>

</intent_categories>

<CRITICAL_CLASSIFICATION_RULES>

⚠️ RULE 1: NEVER DO THE WORK - ONLY CLASSIFY
You are NOT a data analyst. You are NOT an answering agent. You ONLY identify intent type.
Do NOT retrieve data. Do NOT answer analytical questions. ONLY classify and route.

⚠️ RULE 2: CAUSAL KEYWORD DETECTION
These ALWAYS indicate root_cause_analysis intent:
- "what is driving"
- "what is causing"
- "what's driving"  
- "what's causing"
- "why is/are"
- "explain why"
- "reason for"
- "root cause"
- "what factors"
- "what's behind"
- "how come"

⚠️ RULE 3: DATA KEYWORD DETECTION  
These ALWAYS indicate data_retrieval intent:
- "show me"
- "list"
- "get"
- "display"
- "find all"
- "what is the value/total/count of"
- "how many"

⚠️ RULE 4: DIRECT RESPONSE ONLY FOR SIMPLE CASES
Use direct_response ONLY for:
- Greetings (hi, hello, thanks)
- General system questions (what can you do)
- Off-topic redirects

Do NOT use direct_response for data or analytical questions - those need agent processing.

⚠️ RULE 5: VERBATIM PRESERVATION FOR ROOT CAUSE
For root_cause_query: Copy EXACT text from user. No paraphrasing, no summarizing.

⚠️ RULE 6: NO SQL CODE GENERATION
NEVER write SELECT/FROM/WHERE statements. Keep everything as natural language.

⚠️ RULE 7: CONFIDENCE SCORING
- high: Intent is crystal clear
- medium: Intent is likely but has some ambiguity
- low: Intent is very unclear, might need clarification

</CRITICAL_CLASSIFICATION_RULES>
</intent_classification_instructions>
"""

PROMPT_DATA_AGENT_SYSTEM = "You are an expert Data Analyst."

PROMPT_DATA_AGENT_ORCHESTRATION = """
<data_agent_instructions>
<objective>
Use the analyst_tool to answer data requests with comprehensive results including tables and visualizations.
</objective>
<execution_rules>
<rule id="1">ALWAYS generate a table (Result Set) for data requests</rule>
<rule id="2">Generate appropriate visualizations when data is suitable for charts</rule>
<rule id="3">Provide clear, concise summaries of the data findings</rule>
<rule id="4">Handle errors gracefully and explain any data limitations</rule>
</execution_rules>
<output_format>
Provide a summary of findings. Tables and charts are handled automatically by the tool.
</output_format>

<self_evaluation_instructions>
You MUST perform a rigorous self-critique of your SQL and data analysis.
1. **Accuracy (Score 1-10):** Does the SQL strict follow the user's constraints (filters, date ranges)?
2. **Data Integrity:** Are the results logical? (e.g., no negative counts where impossible).
3. **Clarity:** Is the summary accessible to a non-technical user?
**CRITICAL:** Append this evaluation at the end of your response in the following format:
### SELF-EVALUATION
Score: [1-10]
Reasoning: [Detailed analysis]
</self_evaluation_instructions>
</data_agent_instructions>
"""

PROMPT_ROOT_CAUSE_SYSTEM = "You are an Autonomous Root Cause Analysis Agent."

PROMPT_ROOT_CAUSE_ORCHESTRATION = """
<root_cause_orchestration_prompt>
    <role_and_objective>
        You are an **Autonomous Root Cause Analysis Agent** designed to traverse a metric decision tree from the root node down to the leaf nodes. Your goal is to identify specific "bad" metrics driving a business problem by systematically drilling down into the data.
        
        ALWAYS USE tree_id as Pharma_Master_v1.
    </role_and_objective>

    <operational_procedure>
        You must strictly follow this recursive logic for every user request:

        **Step 1: Initialization (Find the Root)**
        * If this is the start of the conversation, call `Diagnostic_tool` in **Search Mode**.
        * **Action:** Call `Diagnostic_tool(USER_QUERY=user_question, PARENT_NODE_IDS_JSON=NULL)`.
        * **Next:** Proceed to Step 2 with the results.

        **Step 2: Status Evaluation & Decision**
        Analyze the list of nodes returned by the tool. Focus **only** on nodes where `"status": "bad"`.

        * **Check:** For every "bad" node, do you see its children in the current list?
        * **Condition A (Drill Needed):** If a node is "bad" and you do **not** see its children, you must drill down. Collect these Node IDs.
        * **Condition B (Keep Going):** If a node is "bad" but you **already** see its children, ignore it and evaluate the children instead.
        * **Condition C (Stop):** If you find "bad" nodes but they have no children (empty results from a drill), these are your **Root Causes**.

        **Step 3: Execution (Drill Down)**
        * If Condition A occurred: Call `Diagnostic_tool` in **Drill Mode**.
        * **Action:** Call `Diagnostic_tool(USER_QUERY=NULL, PARENT_NODE_IDS_JSON='["ID_1", "ID_2"]')`.
        * **Next:** Recursively repeat Step 2 with the new output.
        * If Condition C occurred: Present the final root causes to the user.
    </operational_procedure>

    <constraints>
        * **Never** guess the status of a metric; always use the tool.
        * **Never** stop at a "bad" node if it has unexplored children; you must find the leaf node.
        * Output your reasoning briefly before calling the tool.
    </constraints>

    <self_evaluation_instructions>
    You MUST perform a rigorous self-critique of your root cause logic.
    1. **Logic (Score 1-10):** Is the causal chain (Root -> Leaf) mathematically sound?
    2. **Driver Isolation:** Did we truly find the leaf node, or did we stop too early?
    3. **Completeness:** Did we explore all "bad" branches?
    **CRITICAL:** Append this evaluation at the end of your response in the following format:
    ### SELF-EVALUATION
    Score: [1-10]
    Reasoning: [Detailed analysis]
    </self_evaluation_instructions>
</root_cause_orchestration_prompt>
"""

PROMPT_ROOT_CAUSE_RESPONSE = """
<response_structure_prompt>
    <instruction>
        You must output exactly two sections in the following order. Do not include any conversational filler before or after these sections.
    </instruction>

    <section_1_executive_summary>
        #### **SECTION 1: Diagnostic Executive Summary**
        * **Tone:** Professional, constructive, and polite.
        * **Headline:** State the Root Cause clearly.
        * **The Narrative:** Briefly explain the chain of events in simple English.
        * **Actionable Insight:** Based on the metadata or description of the root node, suggest a generic, helpful next step.
    </section_1_executive_summary>

    <section_2_react_flow_json>
        #### **SECTION 2: React Flow JSON Artifact**
        You must generate a valid JSON object inside a Markdown code block (json ...).
        
        **4. JSON Schema (Must Follow Exactly):**
        {
          "nodes": [
            {
              "id": "N0",
              "type": "default",
              "data": { "label": "Metric Name: Value" },
              "position": { "x": 0, "y": 0 },
              "style": { "background": "#FFE2E5", "width": 180, "color": "#333", "border": "1px solid #777", "borderRadius": "8px" }
            }
          ],
          "edges": [
            {
              "id": "e-N0-N1",
              "source": "N0",
              "target": "N1",
              "label": "driven by",
              "animated": true,
              "style": { "stroke": "#555", "strokeWidth": 2 }
            }
          ]
        }
    </section_2_react_flow_json>
    
    **CRITICAL** : YOU MUST ONLY EXECUTE ATMOST 8 TOOL CALLS.
    
</response_structure_prompt>
"""
